chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__1,4-Benzene diammonium iodide (M)","prepare__1,4-Benzene diammonium iodide",molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.002,2019-11-01T13_24_43.222072+00_00_LBL_A1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.018000000000000002,2019-11-01T13_24_43.222072+00_00_LBL_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.112,2019-11-01T13_24_43.222072+00_00_LBL_E1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.002,2019-11-01T13_24_43.222072+00_00_LBL_G1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.047,2019-11-01T13_24_43.222072+00_00_LBL_A3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.064,2019-11-01T13_24_43.222072+00_00_LBL_C3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.054,2019-11-01T13_24_43.222072+00_00_LBL_E3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.112,2019-11-01T13_24_43.222072+00_00_LBL_G3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.039999999999999994,2019-11-01T13_24_43.222072+00_00_LBL_A5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.034999999999999996,2019-11-01T13_24_43.222072+00_00_LBL_C5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.023,2019-11-01T13_24_43.222072+00_00_LBL_E5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.097,2019-11-01T13_24_43.222072+00_00_LBL_G5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.007,2019-11-01T13_24_43.222072+00_00_LBL_A7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.016,2019-11-01T13_24_43.222072+00_00_LBL_C7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.003,2019-11-01T13_24_43.222072+00_00_LBL_E7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.001,2019-11-01T13_24_43.222072+00_00_LBL_G7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.001,2019-11-01T13_24_43.222072+00_00_LBL_A9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.20099999999999998,2019-11-01T13_24_43.222072+00_00_LBL_C9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.094,2019-11-01T13_24_43.222072+00_00_LBL_E9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.082,2019-11-01T13_24_43.222072+00_00_LBL_G9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.014,2019-11-01T13_24_43.222072+00_00_LBL_A11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.039999999999999994,2019-11-01T13_24_43.222072+00_00_LBL_C11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.092,2019-11-01T13_24_43.222072+00_00_LBL_E11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9325337330742192,1.667 gram,1.227217659017582,1.732 gram,10.409787178019961,2.867 milliliter,3.877579432125517,1,0.029,2019-11-01T13_24_43.222072+00_00_LBL_G11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.657843305388747,0.8124 gram,1.3129288743393874,1.2801 gram,10.511573882656812,2.0 milliliter,2.6787803795770846,1,0.5,2020-02-10T14_03_32.065767+00_00_HC_A1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.657843305388747,0.8124 gram,1.3129288743393874,1.2801 gram,10.511573882656812,2.0 milliliter,2.6787803795770846,1,0.5,2020-02-10T14_03_32.065767+00_00_HC_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.5718744043304625,0.3124 gram,0.7285184784325648,0.3142 gram,11.881597623515995,1.0 milliliter,1.1849499860021107,2,0.18,2020-07-06T16_12_50.344926+00_00_HC_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.002,2021-05-19T16_23_27.948542+00_00_HC_A1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.018000000000000002,2021-05-19T16_23_27.948542+00_00_HC_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.112,2021-05-19T16_23_27.948542+00_00_HC_E1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.002,2021-05-19T16_23_27.948542+00_00_HC_G1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.047,2021-05-19T16_23_27.948542+00_00_HC_A3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.064,2021-05-19T16_23_27.948542+00_00_HC_C3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.054,2021-05-19T16_23_27.948542+00_00_HC_E3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.112,2021-05-19T16_23_27.948542+00_00_HC_G3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.039999999999999994,2021-05-19T16_23_27.948542+00_00_HC_A5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.034999999999999996,2021-05-19T16_23_27.948542+00_00_HC_C5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.023,2021-05-19T16_23_27.948542+00_00_HC_E5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.097,2021-05-19T16_23_27.948542+00_00_HC_G5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.007,2021-05-19T16_23_27.948542+00_00_HC_A7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.016,2021-05-19T16_23_27.948542+00_00_HC_C7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.003,2021-05-19T16_23_27.948542+00_00_HC_E7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.001,2021-05-19T16_23_27.948542+00_00_HC_G7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.001,2021-05-19T16_23_27.948542+00_00_HC_A9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.20099999999999998,2021-05-19T16_23_27.948542+00_00_HC_C9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.094,2021-05-19T16_23_27.948542+00_00_HC_E9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.082,2021-05-19T16_23_27.948542+00_00_HC_G9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.014,2021-05-19T16_23_27.948542+00_00_HC_A11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.039999999999999994,2021-05-19T16_23_27.948542+00_00_HC_C11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.092,2021-05-19T16_23_27.948542+00_00_HC_E11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.029,2021-05-19T16_23_27.948542+00_00_HC_G11
