chemsys,molarity__4-Trifluoromethyl-Benzylammonium iodide (M),prepare__4-Trifluoromethyl-Benzylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.024999999999999998,2019-11-11T16_11_56.387734+00_00_LBL_A1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.074,2019-11-11T16_11_56.387734+00_00_LBL_C1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.002,2019-11-11T16_11_56.387734+00_00_LBL_E1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.027,2019-11-11T16_11_56.387734+00_00_LBL_A3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.052,2019-11-11T16_11_56.387734+00_00_LBL_C3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.001,2019-11-11T16_11_56.387734+00_00_LBL_E3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.009999999999999998,2019-11-11T16_11_56.387734+00_00_LBL_G3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.004999999999999999,2019-11-11T16_11_56.387734+00_00_LBL_A5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.082,2019-11-11T16_11_56.387734+00_00_LBL_C5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.031,2019-11-11T16_11_56.387734+00_00_LBL_E5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.023,2019-11-11T16_11_56.387734+00_00_LBL_G5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.018999999999999996,2019-11-11T16_11_56.387734+00_00_LBL_A7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.013,2019-11-11T16_11_56.387734+00_00_LBL_C7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.044,2019-11-11T16_11_56.387734+00_00_LBL_E7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.031,2019-11-11T16_11_56.387734+00_00_LBL_G7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.045,2019-11-11T16_11_56.387734+00_00_LBL_A9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.001,2019-11-11T16_11_56.387734+00_00_LBL_C9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.003,2019-11-11T16_11_56.387734+00_00_LBL_E9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.012,2019-11-11T16_11_56.387734+00_00_LBL_G9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.020999999999999998,2019-11-11T16_11_56.387734+00_00_LBL_C11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.089,2019-11-11T16_11_56.387734+00_00_LBL_E11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.3154723090600458,3.3 gram,8.299561936574278,3.0 milliliter,4.7025280994524055,2,0.049,2019-11-11T16_11_56.387734+00_00_LBL_G11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.027,2020-01-17T15_31_16.708198+00_00_LBL_A1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.011,2020-01-17T15_31_16.708198+00_00_LBL_C1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.039,2020-01-17T15_31_16.708198+00_00_LBL_E1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.014,2020-01-17T15_31_16.708198+00_00_LBL_G1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.004999999999999999,2020-01-17T15_31_16.708198+00_00_LBL_A3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.003,2020-01-17T15_31_16.708198+00_00_LBL_C3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.004999999999999999,2020-01-17T15_31_16.708198+00_00_LBL_E3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.028,2020-01-17T15_31_16.708198+00_00_LBL_G3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.054,2020-01-17T15_31_16.708198+00_00_LBL_A5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.053,2020-01-17T15_31_16.708198+00_00_LBL_C5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.013,2020-01-17T15_31_16.708198+00_00_LBL_E5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.009000000000000001,2020-01-17T15_31_16.708198+00_00_LBL_G5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.052,2020-01-17T15_31_16.708198+00_00_LBL_A7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.019999999999999997,2020-01-17T15_31_16.708198+00_00_LBL_C7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.052,2020-01-17T15_31_16.708198+00_00_LBL_E7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.09499999999999999,2020-01-17T15_31_16.708198+00_00_LBL_G7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.007,2020-01-17T15_31_16.708198+00_00_LBL_A9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.008,2020-01-17T15_31_16.708198+00_00_LBL_C9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.09899999999999999,2020-01-17T15_31_16.708198+00_00_LBL_E9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.036000000000000004,2020-01-17T15_31_16.708198+00_00_LBL_G9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.07999999999999999,2020-01-17T15_31_16.708198+00_00_LBL_A11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.016,2020-01-17T15_31_16.708198+00_00_LBL_C11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.019999999999999997,2020-01-17T15_31_16.708198+00_00_LBL_E11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.109938460938837,3.34 gram,8.71765404078031,3.5 milliliter,5.223164803688192,2,0.008,2020-01-17T15_31_16.708198+00_00_LBL_G11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.024999999999999998,2021-05-17T18_21_49.529476+00_00_HC_A1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.074,2021-05-17T18_21_49.529476+00_00_HC_C1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.002,2021-05-17T18_21_49.529476+00_00_HC_E1
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.027,2021-05-17T18_21_49.529476+00_00_HC_A3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.052,2021-05-17T18_21_49.529476+00_00_HC_C3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.001,2021-05-17T18_21_49.529476+00_00_HC_E3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.009999999999999998,2021-05-17T18_21_49.529476+00_00_HC_G3
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.004999999999999999,2021-05-17T18_21_49.529476+00_00_HC_A5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.082,2021-05-17T18_21_49.529476+00_00_HC_C5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.031,2021-05-17T18_21_49.529476+00_00_HC_E5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.023,2021-05-17T18_21_49.529476+00_00_HC_G5
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.018999999999999996,2021-05-17T18_21_49.529476+00_00_HC_A7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.013,2021-05-17T18_21_49.529476+00_00_HC_C7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.044,2021-05-17T18_21_49.529476+00_00_HC_E7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.031,2021-05-17T18_21_49.529476+00_00_HC_G7
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.045,2021-05-17T18_21_49.529476+00_00_HC_A9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.001,2021-05-17T18_21_49.529476+00_00_HC_C9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.003,2021-05-17T18_21_49.529476+00_00_HC_E9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.012,2021-05-17T18_21_49.529476+00_00_HC_G9
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.020999999999999998,2021-05-17T18_21_49.529476+00_00_HC_C11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.089,2021-05-17T18_21_49.529476+00_00_HC_E11
4-Trifluoromethyl-Benzylammonium_iodide__Gamma-Butyrolactone,2.6365856499412055,4.84 gram,7.646360755334008,3.56 milliliter,6.057041212530194,2,0.049,2021-05-17T18_21_49.529476+00_00_HC_G11
