chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__4-methoxy-phenethylammonium-iodide (M),prepare__4-methoxy-phenethylammonium-iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.044,2020-02-05T15_53_46.082709+00_00_LBL_A1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.011,2020-02-05T15_53_46.082709+00_00_LBL_C1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.039999999999999994,2020-02-05T15_53_46.082709+00_00_LBL_E1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.124,2020-02-05T15_53_46.082709+00_00_LBL_G1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.062,2020-02-05T15_53_46.082709+00_00_LBL_A3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.049999999999999996,2020-02-05T15_53_46.082709+00_00_LBL_C3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.051,2020-02-05T15_53_46.082709+00_00_LBL_E3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.024999999999999998,2020-02-05T15_53_46.082709+00_00_LBL_G3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.032999999999999995,2020-02-05T15_53_46.082709+00_00_LBL_A5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.009000000000000001,2020-02-05T15_53_46.082709+00_00_LBL_C5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.043,2020-02-05T15_53_46.082709+00_00_LBL_E5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.07200000000000001,2020-02-05T15_53_46.082709+00_00_LBL_G5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.051,2020-02-05T15_53_46.082709+00_00_LBL_A7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.056,2020-02-05T15_53_46.082709+00_00_LBL_C7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.002,2020-02-05T15_53_46.082709+00_00_LBL_E7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.020999999999999998,2020-02-05T15_53_46.082709+00_00_LBL_G7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.078,2020-02-05T15_53_46.082709+00_00_LBL_A9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.024,2020-02-05T15_53_46.082709+00_00_LBL_C9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.03,2020-02-05T15_53_46.082709+00_00_LBL_E9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.047,2020-02-05T15_53_46.082709+00_00_LBL_G9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.062,2020-02-05T15_53_46.082709+00_00_LBL_A11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.056999999999999995,2020-02-05T15_53_46.082709+00_00_LBL_C11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.037,2020-02-05T15_53_46.082709+00_00_LBL_E11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.103363714650533,2.62 gram,1.3354819559602824,1.92 gram,8.840180070194984,3.5 milliliter,5.1507710697039615,1,0.022,2020-02-05T15_53_46.082709+00_00_LBL_G11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.044,2021-02-08T21_20_17.803967+00_00_HC_A1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.011,2021-02-08T21_20_17.803967+00_00_HC_C1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.039999999999999994,2021-02-08T21_20_17.803967+00_00_HC_E1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.124,2021-02-08T21_20_17.803967+00_00_HC_G1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.062,2021-02-08T21_20_17.803967+00_00_HC_A3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.049999999999999996,2021-02-08T21_20_17.803967+00_00_HC_C3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.051,2021-02-08T21_20_17.803967+00_00_HC_E3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.024999999999999998,2021-02-08T21_20_17.803967+00_00_HC_G3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.032999999999999995,2021-02-08T21_20_17.803967+00_00_HC_A5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.009000000000000001,2021-02-08T21_20_17.803967+00_00_HC_C5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.043,2021-02-08T21_20_17.803967+00_00_HC_E5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.07200000000000001,2021-02-08T21_20_17.803967+00_00_HC_G5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.051,2021-02-08T21_20_17.803967+00_00_HC_A7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.056,2021-02-08T21_20_17.803967+00_00_HC_C7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.002,2021-02-08T21_20_17.803967+00_00_HC_E7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.020999999999999998,2021-02-08T21_20_17.803967+00_00_HC_G7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.078,2021-02-08T21_20_17.803967+00_00_HC_A9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.024,2021-02-08T21_20_17.803967+00_00_HC_C9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.03,2021-02-08T21_20_17.803967+00_00_HC_E9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.047,2021-02-08T21_20_17.803967+00_00_HC_G9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.062,2021-02-08T21_20_17.803967+00_00_HC_A11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.056999999999999995,2021-02-08T21_20_17.803967+00_00_HC_C11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.037,2021-02-08T21_20_17.803967+00_00_HC_E11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone__Lead_Diiodide,1.1287085667053445,2.6289 gram,1.3615336306289,1.92 gram,8.755124631346169,3.4 milliliter,5.052215874898767,1,0.022,2021-02-08T21_20_17.803967+00_00_HC_G11
