chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Dimethylammonium iodide (M),prepare__Dimethylammonium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.102,2019-12-03T16_04_22.236974+00_00_LBL_A1
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.018999999999999996,2019-12-03T16_04_22.236974+00_00_LBL_C1
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.13999999999999999,2019-12-03T16_04_22.236974+00_00_LBL_E1
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.047,2019-12-03T16_04_22.236974+00_00_LBL_G1
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.032999999999999995,2019-12-03T16_04_22.236974+00_00_LBL_A3
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.056999999999999995,2019-12-03T16_04_22.236974+00_00_LBL_C3
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.147,2019-12-03T16_04_22.236974+00_00_LBL_E3
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.029,2019-12-03T16_04_22.236974+00_00_LBL_G3
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.11699999999999999,2019-12-03T16_04_22.236974+00_00_LBL_A5
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.103,2019-12-03T16_04_22.236974+00_00_LBL_C5
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.034999999999999996,2019-12-03T16_04_22.236974+00_00_LBL_E5
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.185,2019-12-03T16_04_22.236974+00_00_LBL_G5
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.083,2019-12-03T16_04_22.236974+00_00_LBL_A7
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.004999999999999999,2019-12-03T16_04_22.236974+00_00_LBL_C7
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.09099999999999998,2019-12-03T16_04_22.236974+00_00_LBL_E7
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.098,2019-12-03T16_04_22.236974+00_00_LBL_G7
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.101,2019-12-03T16_04_22.236974+00_00_LBL_A9
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.041,2019-12-03T16_04_22.236974+00_00_LBL_C9
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.001,2019-12-03T16_04_22.236974+00_00_LBL_E9
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.21899999999999997,2019-12-03T16_04_22.236974+00_00_LBL_G9
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.07999999999999999,2019-12-03T16_04_22.236974+00_00_LBL_A11
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.133,2019-12-03T16_04_22.236974+00_00_LBL_C11
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.032999999999999995,2019-12-03T16_04_22.236974+00_00_LBL_E11
Dimethylammonium_iodide__Dimethylformamide__Lead_Diiodide,1.4108770978464362,4.2 gram,1.4146094043111428,1.58 gram,9.9994211717316,5.0 milliliter,6.4572821104755,1,0.097,2019-12-03T16_04_22.236974+00_00_LBL_G11
