chemsys,"molarity__N,N-Diethylpropane-1,3-diammonium iodide (M)","prepare__N,N-Diethylpropane-1,3-diammonium iodide",molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.086,2019-10-30T19_19_05.368929+00_00_LBL_A1
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.006,2019-10-30T19_19_05.368929+00_00_LBL_C1
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.032999999999999995,2019-10-30T19_19_05.368929+00_00_LBL_E1
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.031,2019-10-30T19_19_05.368929+00_00_LBL_G1
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.09499999999999999,2019-10-30T19_19_05.368929+00_00_LBL_A3
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.018000000000000002,2019-10-30T19_19_05.368929+00_00_LBL_C3
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.032999999999999995,2019-10-30T19_19_05.368929+00_00_LBL_E3
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.053,2019-10-30T19_19_05.368929+00_00_LBL_G3
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.05499999999999999,2019-10-30T19_19_05.368929+00_00_LBL_A5
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.09099999999999998,2019-10-30T19_19_05.368929+00_00_LBL_C5
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.034999999999999996,2019-10-30T19_19_05.368929+00_00_LBL_E5
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.014,2019-10-30T19_19_05.368929+00_00_LBL_G5
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.020999999999999998,2019-10-30T19_19_05.368929+00_00_LBL_A7
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.094,2019-10-30T19_19_05.368929+00_00_LBL_C7
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.107,2019-10-30T19_19_05.368929+00_00_LBL_E7
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.024999999999999998,2019-10-30T19_19_05.368929+00_00_LBL_G7
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.06,2019-10-30T19_19_05.368929+00_00_LBL_A9
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.018000000000000002,2019-10-30T19_19_05.368929+00_00_LBL_C9
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.011,2019-10-30T19_19_05.368929+00_00_LBL_E9
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.06599999999999999,2019-10-30T19_19_05.368929+00_00_LBL_G9
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.078,2019-10-30T19_19_05.368929+00_00_LBL_A11
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.058,2019-10-30T19_19_05.368929+00_00_LBL_C11
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.093,2019-10-30T19_19_05.368929+00_00_LBL_E11
"Gamma-Butyrolactone__N,N-Diethylpropane-1,3-diammonium_iodide",1.6258394370357152,2.091 gram,8.591449129786868,2.2 milliliter,3.331360045189475,2,0.07599999999999998,2019-10-30T19_19_05.368929+00_00_LBL_G11
